latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
20.90883,71.46107,303.82,0.37,0.58,2026-09-18,2144,N,VIIRS,n,2.0NRT,291.5,1.13,N
20.90962,71.4575,302.08,0.37,0.58,2026-09-18,2144,N,VIIRS,n,2.0NRT,291.09,1.36,N
22.31089,69.71923,313.71,0.55,0.51,2026-09-18,2144,N,VIIRS,n,2.0NRT,293.22,1.74,N
23.2587,70.26107,304.02,0.56,0.52,2026-09-18,2144,N,VIIRS,n,2.0NRT,291.25,0.96,N
21.09994,72.63522,331.88,0.42,0.45,2026-09-19,856,N,VIIRS,n,2.0NRT,297.47,2.23,D
21.10412,72.63467,340.84,0.42,0.45,2026-09-19,856,N,VIIRS,n,2.0NRT,297.51,2.23,D
21.10554,72.6468,350.1,0.42,0.45,2026-09-19,856,N,VIIRS,n,2.0NRT,300.15,12.63,D
22.93186,69.69827,307.75,0.44,0.38,2026-09-19,2123,N,VIIRS,n,2.0NRT,295.26,0.9,N
22.93537,69.69899,306.8,0.44,0.38,2026-09-19,2123,N,VIIRS,n,2.0NRT,295.15,0.71,N
21.10284,72.64529,305.4,0.44,0.46,2026-09-19,2125,N,VIIRS,n,2.0NRT,289.43,4.15,N
21.10453,72.63682,306.2,0.44,0.46,2026-09-19,2125,N,VIIRS,n,2.0NRT,289.58,4.4,N
21.10623,72.65048,307.38,0.44,0.46,2026-09-19,2125,N,VIIRS,n,2.0NRT,289.8,3.06,N
21.10708,72.64625,317.84,0.44,0.46,2026-09-19,2125,N,VIIRS,n,2.0NRT,289.8,3.06,N
22.33592,69.86636,306.91,0.45,0.39,2026-09-19,2125,N,VIIRS,n,2.0NRT,295.89,3.12,N
22.41644,69.03992,318.8,0.42,0.38,2026-09-19,2125,N,VIIRS,n,2.0NRT,295.54,1.76,N
22.41989,69.0406,306.86,0.42,0.38,2026-09-19,2125,N,VIIRS,n,2.0NRT,294.97,0.38,N
22.57542,70.22902,308.29,0.47,0.4,2026-09-19,2125,N,VIIRS,n,2.0NRT,293.94,0.75,N
21.10412,72.63786,336.66,0.39,0.36,2026-09-20,837,N,VIIRS,n,2.0NRT,298.19,7.96,D
21.10523,72.64537,339.88,0.39,0.36,2026-09-20,837,N,VIIRS,n,2.0NRT,294.73,3.58,D
