latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.19812,80.69488,330.14,0.63,0.54,2026-09-23,737,N,VIIRS,n,2.0NRT,291.07,5.33,D
8.20128,80.97897,333.66,0.6,0.53,2026-09-23,737,N,VIIRS,n,2.0NRT,293,2.96,D
8.21114,80.05256,334.35,0.35,0.57,2026-09-23,737,N,VIIRS,n,2.0NRT,292.01,3.08,D
8.68473,80.86062,339.02,0.6,0.53,2026-09-23,737,N,VIIRS,n,2.0NRT,290,7.15,D
8.76989,80.84837,329.99,0.6,0.53,2026-09-23,737,N,VIIRS,n,2.0NRT,289.85,6.82,D
9.31391,80.21855,326,0.33,0.55,2026-09-23,737,N,VIIRS,n,2.0NRT,280.22,1.88,D
19.36658,71.35461,351.34,0.78,0.78,2026-09-23,739,N,VIIRS,n,2.0NRT,283.15,13.94,D
19.36956,71.34779,328.23,0.78,0.78,2026-09-23,739,N,VIIRS,n,2.0NRT,283.13,11.77,D
19.37139,71.35529,357.36,0.78,0.78,2026-09-23,739,N,VIIRS,l,2.0NRT,283.58,23.7,D
21.6728,84.04043,329.34,0.4,0.37,2026-09-23,739,N,VIIRS,n,2.0NRT,291.65,3.89,D
21.67955,84.03915,334.13,0.4,0.37,2026-09-23,739,N,VIIRS,n,2.0NRT,294.64,4.78,D
22.49384,97.49544,337.34,0.51,0.66,2026-09-23,739,N,VIIRS,n,2.0NRT,293.04,6.59,D
26.12201,68.94447,334.26,0.76,0.77,2026-09-23,741,N,VIIRS,l,2.0NRT,306.99,4.27,D
26.63719,72.25947,349,0.48,0.64,2026-09-23,741,N,VIIRS,n,2.0NRT,307.83,5.35,D
27.51587,78.42472,330.97,0.4,0.44,2026-09-23,741,N,VIIRS,n,2.0NRT,299.51,1.66,D
27.51616,78.42499,330.05,0.4,0.44,2026-09-23,741,N,VIIRS,n,2.0NRT,299.17,1.62,D
27.77869,77.67394,341.58,0.43,0.46,2026-09-23,741,N,VIIRS,n,2.0NRT,302.25,5.25,D
28.03601,75.06429,334.31,0.61,0.53,2026-09-23,741,N,VIIRS,l,2.0NRT,307.28,1.24,D
28.92355,79.84691,330.51,0.48,0.4,2026-09-23,741,N,VIIRS,n,2.0NRT,296.67,3.88,D
29.13685,76.68494,330.54,0.46,0.47,2026-09-23,744,N,VIIRS,n,2.0NRT,302.62,2.46,D
30.57632,76.99915,336.76,0.42,0.45,2026-09-23,744,N,VIIRS,n,2.0NRT,300.94,3.45,D
31.10258,74.63383,330.08,0.55,0.51,2026-09-23,744,N,VIIRS,n,2.0NRT,296.85,3.44,D
31.1066,74.60833,332.64,0.55,0.51,2026-09-23,744,N,VIIRS,n,2.0NRT,297.03,2.25,D
31.42019,72.5842,338.1,0.35,0.57,2026-09-23,744,N,VIIRS,n,2.0NRT,299.76,2.68,D
31.83707,74.19294,337.66,0.56,0.52,2026-09-23,744,N,VIIRS,n,2.0NRT,297.59,5.06,D
31.87357,74.69193,340.2,0.53,0.5,2026-09-23,744,N,VIIRS,n,2.0NRT,297.89,5.08,D
33.79535,74.92694,325.33,0.47,0.47,2026-09-23,744,N,VIIRS,l,2.0NRT,300.23,3.56,D
21.10051,72.63617,333.75,0.53,0.67,2026-09-23,922,N,VIIRS,n,2.0NRT,292.95,4.46,D
21.10767,72.64611,367,0.53,0.67,2026-09-23,922,N,VIIRS,h,2.0NRT,292.69,12.9,D
23.33205,69.15276,331.8,0.34,0.56,2026-09-23,922,N,VIIRS,n,2.0NRT,301.84,0.91,D
24.86345,69.18137,340.97,0.35,0.57,2026-09-23,922,N,VIIRS,n,2.0NRT,305.76,2.31,D
26.09461,68.88007,339.36,0.35,0.57,2026-09-23,922,N,VIIRS,n,2.0NRT,311.3,2.25,D
26.09517,68.87994,339.25,0.35,0.56,2026-09-23,922,N,VIIRS,l,2.0NRT,310.52,2.72,D
26.358,70.7627,337.26,0.46,0.63,2026-09-23,922,N,VIIRS,l,2.0NRT,309.59,3.04,D
27.24188,70.47696,357.8,0.45,0.63,2026-09-23,922,N,VIIRS,n,2.0NRT,314.24,5.37,D
28.05321,69.37051,340.59,0.39,0.59,2026-09-23,924,N,VIIRS,n,2.0NRT,309.09,3.13,D
28.05377,69.37,334.71,0.39,0.59,2026-09-23,924,N,VIIRS,l,2.0NRT,308.31,4.25,D
29.55039,68.53275,344.16,0.36,0.57,2026-09-23,924,N,VIIRS,n,2.0NRT,312.7,5.14,D
32.57712,72.55971,305.87,0.73,0.76,2026-09-23,2006,N,VIIRS,n,2.0NRT,293.8,1.74,N
24.66043,74.63132,304.31,0.47,0.64,2026-09-23,2008,N,VIIRS,n,2.0NRT,292.85,1.32,N
25.11131,93.83849,297.1,0.5,0.49,2026-09-23,2008,N,VIIRS,n,2.0NRT,284.72,0.55,N
26.63934,79.47744,304.04,0.49,0.49,2026-09-23,2008,N,VIIRS,n,2.0NRT,286.49,0.73,N
26.64386,79.47805,306.33,0.49,0.49,2026-09-23,2008,N,VIIRS,n,2.0NRT,287.46,0.73,N
28.03121,76.49477,310.38,0.39,0.59,2026-09-23,2008,N,VIIRS,n,2.0NRT,295.19,1.3,N
28.17372,76.85616,305.54,0.37,0.58,2026-09-23,2008,N,VIIRS,n,2.0NRT,295.19,0.95,N
28.20892,77.32211,309.78,0.35,0.57,2026-09-23,2008,N,VIIRS,n,2.0NRT,294.72,1.4,N
28.21419,77.32272,334.28,0.35,0.57,2026-09-23,2008,N,VIIRS,n,2.0NRT,295.36,1.4,N
28.65629,77.58827,306.02,0.34,0.56,2026-09-23,2008,N,VIIRS,n,2.0NRT,294.57,0.57,N
28.71347,76.83268,308.05,0.38,0.59,2026-09-23,2008,N,VIIRS,n,2.0NRT,295.68,0.86,N
28.74422,76.92708,306.1,0.37,0.58,2026-09-23,2008,N,VIIRS,n,2.0NRT,295.77,0.61,N
28.8934,78.85721,304.01,0.57,0.52,2026-09-23,2008,N,VIIRS,n,2.0NRT,293.6,0.75,N
